11/18/16
time,nodeID,airTemperature,airHumidity,soilTemperature,soilMoisture,lightIntensity,windVelocity,winDirection,Rain
11:13:49,01,42,30,24,61,101,N/A,N/A,N/A
18:33:24,01,48,54,25,23,47,N/A,N/A,N/A
11:38:35,01,37,83,24,33,93,N/A,N/A,N/A
23:16:18,01,1,47,29,83,47,N/A,N/A,N/A
4:27:45,01,8,46,1,93,7,N/A,N/A,N/A
15:30:24,01,38,57,0,11,89,N/A,N/A,N/A
9:34:14,01,38,22,31,39,129,N/A,N/A,N/A
23:32:39,01,2,87,0,8,36,N/A,N/A,N/A
14:25:40,01,5,52,43,92,107,N/A,N/A,N/A
21:27:41,01,36,85,49,68,53,N/A,N/A,N/A
12:45:20,01,5,7,45,2,135,N/A,N/A,N/A
18:8:19,01,15,85,48,33,89,N/A,N/A,N/A
18:24:21,01,2,91,28,43,28,N/A,N/A,N/A
2:28:23,01,30,99,34,98,139,N/A,N/A,N/A
22:1:18,01,31,14,17,37,100,N/A,N/A,N/A
14:43:42,01,49,18,13,48,90,N/A,N/A,N/A
20:5:36,01,37,73,46,6,106,N/A,N/A,N/A
21:42:36,01,37,0,29,67,98,N/A,N/A,N/A
23:1:26,01,13,21,27,23,51,N/A,N/A,N/A
13:6:32,01,43,16,5,0,97,N/A,N/A,N/A
10:44:9,01,32,89,45,11,96,N/A,N/A,N/A
20:27:47,01,33,68,11,92,99,N/A,N/A,N/A
7:22:26,01,41,55,44,90,104,N/A,N/A,N/A
20:6:32,01,47,89,13,4,81,N/A,N/A,N/A
21:29:37,01,20,43,5,91,63,N/A,N/A,N/A
14:13:9,01,23,3,19,65,138,N/A,N/A,N/A
16:34:13,01,13,39,27,90,81,N/A,N/A,N/A
3:35:42,01,49,45,12,83,68,N/A,N/A,N/A
20:31:19,01,30,13,50,34,92,N/A,N/A,N/A
3:27:28,01,21,69,26,6,146,N/A,N/A,N/A
5:47:33,01,6,94,29,57,79,N/A,N/A,N/A
15:13:14,01,48,99,16,6,150,N/A,N/A,N/A
14:42:33,01,30,18,35,0,67,N/A,N/A,N/A
10:31:42,01,14,85,12,24,82,N/A,N/A,N/A
2:35:35,01,17,22,16,58,26,N/A,N/A,N/A
15:7:50,01,14,51,45,8,16,N/A,N/A,N/A
13:10:17,01,45,24,17,31,82,N/A,N/A,N/A
15:44:36,01,25,77,42,42,49,N/A,N/A,N/A
0:4:30,01,2,97,1,58,93,N/A,N/A,N/A
4:20:46,01,48,74,6,71,13,N/A,N/A,N/A
23:20:15,01,40,38,14,43,149,N/A,N/A,N/A
14:42:48,01,29,74,42,65,39,N/A,N/A,N/A
4:28:19,01,42,56,40,74,41,N/A,N/A,N/A
12:24:32,01,43,73,4,47,123,N/A,N/A,N/A
