11/20/16
time,nodeID,airTemperature,airHumidity,soilTemperature,soilMoisture,lightIntensity,windVelocity,winDirection,Rain
1:36:17,01,44,8,1,90,120,N/A,N/A,N/A
19:40:43,01,13,57,21,81,91,N/A,N/A,N/A
11:10:19,01,41,84,1,88,21,N/A,N/A,N/A
15:24:16,01,8,25,29,28,91,N/A,N/A,N/A
4:46:16,01,32,18,17,70,129,N/A,N/A,N/A
21:8:43,01,22,84,11,64,118,N/A,N/A,N/A
16:3:50,01,35,68,35,88,86,N/A,N/A,N/A
5:3:4,01,20,67,34,6,21,N/A,N/A,N/A
9:34:4,01,29,52,39,81,2,N/A,N/A,N/A
1:11:28,01,24,6,41,44,134,N/A,N/A,N/A
8:19:46,01,31,10,8,86,134,N/A,N/A,N/A
1:12:46,01,16,1,20,4,116,N/A,N/A,N/A
17:35:37,01,14,87,48,20,94,N/A,N/A,N/A
18:39:42,01,46,94,18,82,28,N/A,N/A,N/A
13:28:49,01,28,25,22,17,38,N/A,N/A,N/A
4:0:6,01,46,31,30,29,106,N/A,N/A,N/A
18:12:37,01,10,65,41,80,53,N/A,N/A,N/A
14:13:50,01,24,80,46,66,33,N/A,N/A,N/A
20:16:15,01,30,5,42,85,14,N/A,N/A,N/A
22:38:25,01,28,48,34,83,6,N/A,N/A,N/A
19:45:36,01,16,38,9,63,123,N/A,N/A,N/A
19:22:16,01,44,65,16,98,82,N/A,N/A,N/A
2:19:13,01,23,88,22,35,100,N/A,N/A,N/A
16:30:28,01,45,16,43,59,1,N/A,N/A,N/A
19:31:12,01,10,9,7,80,10,N/A,N/A,N/A
7:44:38,01,45,0,29,24,10,N/A,N/A,N/A
14:32:12,01,31,53,50,68,100,N/A,N/A,N/A
4:47:4,01,18,5,32,9,121,N/A,N/A,N/A
13:2:10,01,31,49,20,64,122,N/A,N/A,N/A
19:35:45,01,40,80,32,9,141,N/A,N/A,N/A
1:35:47,01,5,62,1,5,58,N/A,N/A,N/A
8:27:0,01,7,8,31,33,129,N/A,N/A,N/A
22:49:23,01,38,90,47,17,32,N/A,N/A,N/A
7:26:24,01,23,5,30,88,28,N/A,N/A,N/A
10:4:33,01,5,86,7,71,54,N/A,N/A,N/A
18:23:0,01,7,54,15,6,103,N/A,N/A,N/A
22:18:28,01,8,9,0,8,109,N/A,N/A,N/A
7:3:37,01,6,89,29,6,90,N/A,N/A,N/A
3:46:34,01,5,39,47,50,137,N/A,N/A,N/A
16:5:37,01,30,89,5,40,93,N/A,N/A,N/A
1:28:34,01,38,66,48,25,37,N/A,N/A,N/A
9:29:18,01,18,39,6,77,23,N/A,N/A,N/A
3:21:33,01,18,88,50,92,27,N/A,N/A,N/A
12:45:8,01,10,65,48,9,80,N/A,N/A,N/A
0:0:30,01,31,16,45,84,3,N/A,N/A,N/A
22:19:19,01,2,13,34,13,98,N/A,N/A,N/A
4:34:19,01,14,7,31,5,46,N/A,N/A,N/A
7:26:21,01,15,18,36,45,104,N/A,N/A,N/A
23:12:0,01,1,31,23,83,57,N/A,N/A,N/A
6:0:50,01,36,59,18,66,8,N/A,N/A,N/A
9:43:38,01,17,31,18,50,89,N/A,N/A,N/A
11:30:21,01,17,7,25,85,113,N/A,N/A,N/A
4:35:13,01,34,61,21,1,132,N/A,N/A,N/A
5:31:14,01,25,83,1,47,26,N/A,N/A,N/A
11:49:6,01,4,44,12,92,31,N/A,N/A,N/A
8:22:31,01,0,61,6,77,91,N/A,N/A,N/A
21:11:34,01,1,80,43,72,73,N/A,N/A,N/A
2:40:33,01,35,10,20,30,27,N/A,N/A,N/A
13:25:18,01,6,88,50,36,119,N/A,N/A,N/A
22:18:38,01,21,50,33,7,101,N/A,N/A,N/A
1:30:20,01,15,94,9,20,110,N/A,N/A,N/A
21:45:32,01,8,2,38,81,45,N/A,N/A,N/A
15:12:44,01,18,75,20,27,20,N/A,N/A,N/A
2:39:14,01,20,86,44,43,51,N/A,N/A,N/A
23:44:2,01,4,47,37,20,14,N/A,N/A,N/A
23:45:42,01,26,72,5,14,39,N/A,N/A,N/A
21:21:24,01,47,67,46,67,110,N/A,N/A,N/A
20:44:12,01,32,74,30,23,0,N/A,N/A,N/A
13:32:38,01,13,91,21,82,35,N/A,N/A,N/A
11:13:32,01,36,86,11,57,113,N/A,N/A,N/A
17:17:37,01,47,44,35,89,125,N/A,N/A,N/A
20:19:43,01,25,48,36,97,89,N/A,N/A,N/A
14:40:13,01,15,53,35,61,24,N/A,N/A,N/A
10:43:21,01,8,76,2,43,72,N/A,N/A,N/A
6:11:41,01,9,33,12,6,131,N/A,N/A,N/A
5:24:34,01,11,81,43,41,138,N/A,N/A,N/A
6:22:14,01,48,72,34,73,89,N/A,N/A,N/A
13:34:45,01,20,67,37,1,118,N/A,N/A,N/A
9:17:30,01,44,17,23,2,130,N/A,N/A,N/A
3:14:5,01,2,39,11,99,50,N/A,N/A,N/A
1:20:16,01,27,7,35,3,51,N/A,N/A,N/A
10:22:34,01,2,2,36,25,126,N/A,N/A,N/A
8:24:33,01,40,47,47,33,28,N/A,N/A,N/A
7:41:42,01,38,9,0,99,14,N/A,N/A,N/A
2:45:8,01,1,98,47,11,55,N/A,N/A,N/A
17:31:24,01,48,8,14,94,129,N/A,N/A,N/A
10:30:23,01,17,85,37,23,100,N/A,N/A,N/A
14:8:16,01,34,1,12,97,106,N/A,N/A,N/A
10:28:34,01,44,6,28,80,32,N/A,N/A,N/A
10:7:12,01,26,56,48,2,111,N/A,N/A,N/A
1:20:17,01,23,1,40,31,106,N/A,N/A,N/A
4:24:23,01,24,48,19,98,56,N/A,N/A,N/A
17:13:11,01,11,60,37,9,76,N/A,N/A,N/A
20:47:40,01,26,40,20,48,112,N/A,N/A,N/A
3:27:10,01,7,27,17,96,115,N/A,N/A,N/A
17:19:29,01,14,40,17,68,76,N/A,N/A,N/A
23:27:7,01,24,36,35,95,131,N/A,N/A,N/A
22:3:37,01,43,20,25,80,140,N/A,N/A,N/A
13:6:26,01,37,53,31,38,41,N/A,N/A,N/A
7:29:31,01,34,37,5,33,76,N/A,N/A,N/A
13:0:19,01,31,89,29,22,26,N/A,N/A,N/A
17:41:42,01,0,39,15,73,56,N/A,N/A,N/A
5:22:4,01,47,76,3,43,40,N/A,N/A,N/A
2:23:40,01,5,83,38,75,148,N/A,N/A,N/A
21:14:10,01,1,6,28,53,82,N/A,N/A,N/A
8:11:33,01,26,98,27,35,74,N/A,N/A,N/A
6:17:18,01,26,92,12,57,19,N/A,N/A,N/A
2:0:26,01,21,28,20,43,26,N/A,N/A,N/A
22:20:30,01,14,91,38,9,44,N/A,N/A,N/A
23:3:5,01,1,91,37,30,101,N/A,N/A,N/A
20:11:49,01,5,39,4,7,85,N/A,N/A,N/A
17:7:24,01,22,96,25,31,18,N/A,N/A,N/A
22:39:27,01,35,86,14,54,113,N/A,N/A,N/A
20:17:40,01,10,20,6,78,13,N/A,N/A,N/A
16:21:14,01,46,64,16,98,28,N/A,N/A,N/A
0:38:7,01,17,79,30,80,144,N/A,N/A,N/A
19:25:30,01,45,59,9,78,102,N/A,N/A,N/A
7:48:19,01,46,92,25,60,70,N/A,N/A,N/A
16:25:34,01,3,53,45,77,83,N/A,N/A,N/A
1:37:22,01,16,14,45,85,122,N/A,N/A,N/A
13:48:26,01,24,29,23,42,144,N/A,N/A,N/A
15:9:46,01,46,22,11,25,60,N/A,N/A,N/A
14:13:7,01,24,30,26,96,8,N/A,N/A,N/A
